Scheurer, Haller	Nachricht von dem Leben und Verrichtungen Joh. Hallers, des Helffers zu schweitz, Zweysimmen und Thun, Schullehrers zu Interlacken, Pfarrers zu Schertzligen, Anseltingen und Bühlach, wie auch Joh. Hallers Des Sohns, Pfarrers zu Augspurg und Bern, auch Decans allda		Samuel Scheurer, Nachricht von dem Leben und Verrichtungen Joh. Hallers, des Helffers zu schweitz, Zweysimmen und Thun, Schullehrers zu Interlacken, Pfarrers zu Schertzligen, Anseltingen und Bühlach, wie auch Joh. Hallers Des Sohns, Pfarrers zu Augspurg und Bern, auch Decans allda, in: Bernerisches Mausoleum, 6. Stück, Bern 1743, S. 395-548.
Schl.	Bibliographie zur deutschen Geschichte im Zeitalter der Glaubensspaltung 1517-1585		Karl Schottenloher, Bibliographie zur deutschen Geschichte im Zeitalter der Glaubensspaltung 1517-1585, 6 Bde., Stuttgart 1956-1958
Schlüter (Schlüter, Streitschriften)	Flug- und Streitschriften zur "Kölner Reformation"		Theodor C. Schlüter, Flug- und Streitschriften zur "Kölner Reformation", Wiesbaden 2005 - Buchwissenschaftliche Beiträge aus dem Deutschen Bucharchiv München 73.
Schlütter-Schindler	Der Schmalkaldische Bund und das Problem der causa religionis		Gabriele Schlütter-Schindler, Der Schmalkaldische Bund und das Problem der causa religionis, Frankfurt 1986 - Europäische Hochschulschriften. III. Reihe 283.
Schmidlin, Solothurn (Schmidlin)	Solothurns Glaubenskampf und Reformation im 16. Jahrhundert		Ludwig Rochus Schmidlin, Solothurns Glaubenskampf und Reformation im 16. Jahrhundert, Solothurn 1904.
Schmidt, Städtetag	Der Städtetag in der Reichsverfassung. Eine Untersuchung zur korporativen Politik der Freien und Reichsstädte in der ersten Hälfte des 16. Jahrhunderts		Georg Schmidt, Der Städtetag in der Reichsverfassung. Eine Untersuchung zur korporativen Politik der Freien und Reichsstädte in der ersten Hälfte des 16. Jahrhunderts, Stuttgart 1984 - Veröffentlichungen des Instituts für Europäische Geschichte Mainz, Abt. Universalgeschichte 113; Beiträge zur Sozial- und Verfassungsgeschichte des Alten Reiches 5.
Schnyder, Ratslisten	Die Zürcher Ratslisten 1225 bis 1798		Die Zürcher Ratslisten 1225 bis 1798, hg. v. Staatsarchiv des Kantons Zürich und bearb. v. Werner Schnyder, Zürich 1962.
Schott-Volm1 (Schott-Volm	Repertorium der Policeyordnungen der Frühen Neuzeit	7	Claudia Schott-Volm, Repertorium der Policeyordnungen der Frühen Neuzeit, hg. v. Karl Härter und Michael Stolleis, Bd. 7/1: Orte der Schweizer Eidgenossenschaft: Bern, Frankfurt a. M. 2006 - Studien zur europäischen Rechtsgeschichte 204/1.
Schott-Volm2	Repertorium der Policeyordnungen der Frühen Neuzeit		Claudia Schott-Volm, Repertorium der Policeyordnungen der Frühen Neuzeit, hg. v. Karl Härter und Michael Stolleis, Bd. 7/2: Orte der Schweizer Eidgenossenschaft: Zürich, Frankfurt a. M. 2006 - Studien zur europäischen Rechtsgeschichte 204/2.
Schulte, Hansestädte	Niederdeutsche Hansestädte in der Spätzeit Kaiser Karls V. Bündische Städtepolitik zwischen Schmalkaldischem Krieg und Passauer Vertrag. Städtische Tagfahrten und Zusammenkünfte in den Jahren 1546-1552		Günter Schulte, Niederdeutsche Hansestädte in der Spätzeit Kaiser Karls V. Bündische Städtepolitik zwischen Schmalkaldischem Krieg und Passauer Vertrag. Städtische Tagfahrten und Zusammenkünfte in den Jahren 1546-1552, Diss. Münster 1987.
Schultheß-Rechberg	Heinrich Bullinger, der Nachfolger Zwinglis		Gustav von Schultheß-Rechberg, Heinrich Bullinger, der Nachfolger Zwinglis, Halle a.d. Saale / Zürich 1904. - SVRG XXII/1.
Schultz, Schwenckfeld	Caspar Schwenckfeld von Ossig (1489-1561)		Selina Gerhard Schultz, Caspar Schwenckfeld von Ossig (1489-1561), 4. Aufl., Pennsburg 1977.
Schwarz, Calvin (Schwarz, Calvins Lebenswerk)	Johannes Calvins Lebenswerk in seinen Briefen		Johannes Calvins Lebenswerk in seinen Briefen, eine Auswahl von Briefen Calvins in deutscher Übersetzung von Rudolf Schwarz, 2. Aufl., 3 Bde., Neukirchen-Vluyn 1961/1962.
Schüz, Donaufeldzug	Der Donaufeldzug Karls V. im Jahre 1546		Alfred Schüz, Der Donaufeldzug Karls V. im Jahre 1546, Tübingen 1930.
Seckendorf	Commentarius historicus et apologeticus de Lutheranismo sive de Reformatione religionis ductu D. Martini Lutheri in magna Germaniae parte aliisque regionibus et speciatim in Saxonia recepta et stabilita ...		Veit Ludwig von Seckendorf, Commentarius historicus et apologeticus de Lutheranismo sive de Reformatione religionis ductu D. Martini Lutheri in magna Germaniae parte aliisque regionibus et speciatim in Saxonia recepta et stabilita ..., Frankfurt/Leipzig 1692.
Seeliger	Zittauer Freunde der Züricher Reformatoren und der Böhmischen Brüder		Ernst Alwin Seeliger, Zittauer Freunde der Züricher Reformatoren und der Böhmischen Brüder, in: Zittauer Geschichtsblätter (Beilage zu den Zittauer Nachrichten) IX/10, Zittau 1932, S. 37-44.
