,letter_id,edition,sent_count,cont_footnote_count,ed_footnote_count,footnotes_per_sentence
205,10228,03,19,20,1,1.0526315789473684
206,10229,03,43,29,1,0.6744186046511628
207,10230,03,87,44,1,0.5057471264367817
208,10231,03,29,31,5,1.0689655172413792
209,10232,03,22,20,0,0.9090909090909091
210,10233,03,19,13,2,0.6842105263157895
211,10234,03,29,31,1,1.0689655172413792
212,10235,03,6,9,0,1.5
213,10236,03,27,25,1,0.9259259259259259
214,10237,03,35,18,7,0.5142857142857142
215,10238,03,11,15,0,1.3636363636363635
216,10239,03,49,26,3,0.5306122448979592
217,10240,03,15,10,0,0.6666666666666666
218,10241,03,20,7,0,0.35
219,10242,03,42,24,0,0.5714285714285714
220,10243,03,22,1,0,0.045454545454545456
221,10244,03,35,27,0,0.7714285714285715
222,10245,03,22,12,1,0.5454545454545454
223,10246,03,13,7,0,0.5384615384615384
224,10247,03,21,6,0,0.2857142857142857
225,10248,03,27,15,0,0.5555555555555556
226,10249,03,9,17,2,1.8888888888888888
227,10250,03,15,5,4,0.3333333333333333
228,10251,03,34,20,7,0.5882352941176471
229,10252,03,24,12,0,0.5
230,10253,03,21,4,0,0.19047619047619047
231,10254,03,9,7,0,0.7777777777777778
232,10255,03,37,7,0,0.1891891891891892
233,10256,03,16,23,1,1.4375
234,10257,03,20,13,0,0.65
235,10258,03,15,17,0,1.1333333333333333
236,10259,03,24,9,0,0.375
237,10260,03,19,19,1,1.0
238,10261,03,15,22,2,1.4666666666666666
239,10262,03,12,7,1,0.5833333333333334
240,10263,03,17,8,1,0.47058823529411764
241,10264,03,41,17,1,0.4146341463414634
242,10265,03,22,8,1,0.36363636363636365
243,10266,03,13,8,0,0.6153846153846154
244,10267,03,17,8,0,0.47058823529411764
245,10268,03,20,10,0,0.5
246,10269,03,29,21,6,0.7241379310344828
247,10270,03,32,11,0,0.34375
248,10271,03,27,13,0,0.48148148148148145
249,10272,03,13,10,0,0.7692307692307693
250,10273,03,14,7,0,0.5
251,10274,03,18,6,0,0.3333333333333333
252,10275,03,44,14,0,0.3181818181818182
253,10276,03,21,14,0,0.6666666666666666
254,10277,03,29,18,2,0.6206896551724138
255,10278,03,12,10,0,0.8333333333333334
256,10279,03,10,11,0,1.1
257,10280,03,34,27,0,0.7941176470588235
258,10281,03,17,5,0,0.29411764705882354
259,10282,03,21,11,3,0.5238095238095238
260,10283,03,28,27,0,0.9642857142857143
261,10284,03,43,14,2,0.32558139534883723
262,10285,03,30,16,2,0.5333333333333333
263,10286,03,81,25,0,0.30864197530864196
264,10287,03,56,35,4,0.625
265,10288,03,18,7,1,0.3888888888888889
266,10289,03,37,28,0,0.7567567567567568
267,10290,03,12,12,2,1.0
268,10291,03,9,6,0,0.6666666666666666
269,10292,03,19,10,0,0.5263157894736842
270,10293,03,16,2,0,0.125
271,10294,03,26,38,10,1.4615384615384615
272,10295,03,31,10,1,0.3225806451612903
273,10296,03,16,2,1,0.125
274,10297,03,89,83,4,0.9325842696629213
275,10298,03,14,27,2,1.9285714285714286
276,10299,03,18,36,0,2.0
277,10300,03,9,20,0,2.2222222222222223
278,10301,03,34,8,0,0.23529411764705882
279,10302,03,23,26,1,1.1304347826086956
280,10303,03,24,12,1,0.5
281,10304,03,10,6,0,0.6
282,10305,03,27,22,0,0.8148148148148148
283,10306,03,23,14,0,0.6086956521739131
284,10307,03,34,10,0,0.29411764705882354
285,10308,03,9,12,1,1.3333333333333333
286,10309,03,158,45,18,0.2848101265822785
287,10310,03,18,20,6,1.1111111111111112
288,10311,03,21,10,6,0.47619047619047616
289,10312,03,19,11,0,0.5789473684210527
290,10313,03,28,10,0,0.35714285714285715
291,10314,03,38,50,0,1.3157894736842106
292,10315,03,22,7,0,0.3181818181818182
293,10316,03,33,25,0,0.7575757575757576
294,10317,03,14,10,0,0.7142857142857143
295,10318,03,21,8,0,0.38095238095238093
296,10319,03,60,56,5,0.9333333333333333
297,10320,03,17,6,2,0.35294117647058826
298,10321,03,25,9,0,0.36
299,10322,03,36,32,2,0.8888888888888888
300,10323,03,50,19,4,0.38
301,10324,03,65,40,6,0.6153846153846154
302,10325,03,17,26,0,1.5294117647058822
303,10326,03,24,18,0,0.75
304,10327,03,20,8,0,0.4
305,10328,03,11,7,0,0.6363636363636364
306,10329,03,30,9,3,0.3
307,10330,03,16,10,0,0.625
308,10331,03,21,11,0,0.5238095238095238
309,10332,03,104,58,2,0.5576923076923077
310,10333,03,15,3,0,0.2
311,10334,03,26,10,1,0.38461538461538464
312,10335,03,21,9,0,0.42857142857142855
313,10336,03,16,4,1,0.25
314,10337,03,76,68,6,0.8947368421052632
315,10338,03,49,32,1,0.6530612244897959
316,10339,03,27,9,0,0.3333333333333333
317,10340,03,58,32,3,0.5517241379310345
318,10341,03,16,6,1,0.375
319,10342,03,20,11,2,0.55
320,10343,04,13,23,1,1.7692307692307692
321,10344,04,94,37,14,0.39361702127659576
322,10345,04,42,17,0,0.40476190476190477
323,10346,04,19,5,0,0.2631578947368421
324,10347,04,10,4,0,0.4
325,10348,04,53,60,0,1.1320754716981132
326,10349,04,23,9,6,0.391304347826087
327,10350,04,22,25,1,1.1363636363636365
328,10351,04,16,23,1,1.4375
329,10352,04,44,36,2,0.8181818181818182
330,10353,04,20,8,2,0.4
331,10354,04,48,26,1,0.5416666666666666
332,10355,04,12,8,0,0.6666666666666666
333,10356,04,21,14,1,0.6666666666666666
334,10357,04,20,17,0,0.85
335,10358,10,11,14,0,1.2727272727272727
336,10359,04,21,29,4,1.380952380952381
337,10360,04,31,10,2,0.3225806451612903
338,10361,04,16,7,3,0.4375
339,10362,04,72,48,0,0.6666666666666666
340,10363,04,30,14,0,0.4666666666666667
341,10364,04,16,10,0,0.625
342,10365,04,27,10,1,0.37037037037037035
343,10366,04,12,7,0,0.5833333333333334
344,10367,04,33,16,1,0.48484848484848486
345,10368,04,16,13,0,0.8125
